Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_0p21_Hst1_HS_Buffer/frames/0.21 mgml/avrg_002.dat /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_0p21_Hst1_HS_Buffer/frames/0.21 mgml/avrg_001.dat
  7.768555e-02   4.394100e-04   1.682535e-03
  8.257128e-02   3.670700e-03   9.086834e-04
  8.745700e-02   2.370490e-03   7.444679e-04
  9.234272e-02   2.158890e-03   6.162355e-04
  9.722845e-02   2.295510e-03   5.479445e-04
  1.021142e-01   2.376140e-03   4.932581e-04
  1.069999e-01   2.577470e-03   4.611136e-04
  1.118856e-01   1.947240e-03   4.271052e-04
  1.167713e-01   1.878870e-03   3.959848e-04
  1.216571e-01   1.952350e-03   3.778948e-04
  1.265428e-01   2.011540e-03   3.549480e-04
  1.314285e-01   2.107980e-03   3.434129e-04
  1.363142e-01   1.913580e-03   3.250044e-04
  1.412000e-01   1.790000e-03   3.146228e-04
  1.460857e-01   1.315560e-03   2.985615e-04
  1.509714e-01   1.901120e-03   2.904729e-04
  1.558571e-01   1.766600e-03   2.780856e-04
  1.607428e-01   2.339140e-03   2.704574e-04
  1.656286e-01   1.954570e-03   2.675671e-04
  1.705143e-01   2.138110e-03   2.573198e-04
  1.754000e-01   2.335740e-03   2.488663e-04
  1.802857e-01   1.803310e-03   2.438297e-04
  1.851715e-01   2.210180e-03   2.412217e-04
  1.900572e-01   2.121050e-03   2.338673e-04
  1.949429e-01   1.790810e-03   2.291047e-04
  1.998286e-01   2.061840e-03   2.250197e-04
  2.047143e-01   1.877960e-03   2.211790e-04
  2.096001e-01   1.992150e-03   2.176380e-04
  2.144858e-01   2.004290e-03   2.126349e-04
  2.193715e-01   2.026670e-03   2.094311e-04
  2.242572e-01   2.145540e-03   2.076609e-04
  2.291430e-01   2.207080e-03   2.018129e-04
  2.340287e-01   1.983890e-03   1.978182e-04
  2.389144e-01   1.978420e-03   1.969518e-04
  2.438001e-01   1.559210e-03   1.951839e-04
  2.486859e-01   2.152000e-03   1.906211e-04
  2.535716e-01   1.701290e-03   1.874345e-04
  2.584573e-01   1.740050e-03   1.879698e-04
  2.633430e-01   2.044880e-03   1.875398e-04
  2.682287e-01   1.958410e-03   1.903617e-04
  2.731145e-01   1.703970e-03   1.905917e-04
  2.780002e-01   2.065160e-03   1.977064e-04
