Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): 0p21.dat
  7.768555e-02   4.394100e-04   1.682535e-03
  8.273493e-02   3.670700e-03   9.086834e-04
  8.745700e-02   2.370490e-03   7.444679e-04
  9.234272e-02   2.158890e-03   6.162355e-04
  9.722845e-02   2.295510e-03   5.479445e-04
  1.021142e-01   2.376140e-03   4.932581e-04
  1.069999e-01   2.577470e-03   4.611136e-04
  1.118856e-01   1.947240e-03   4.271052e-04
  1.167713e-01   1.878870e-03   3.959848e-04
  1.216571e-01   1.952350e-03   3.778948e-04
  1.265428e-01   2.011540e-03   3.549480e-04
  1.314285e-01   2.107980e-03   3.434129e-04
  1.363142e-01   1.913580e-03   3.250044e-04
  1.412000e-01   1.790000e-03   3.146228e-04
  1.460857e-01   1.315560e-03   2.985615e-04
  1.509714e-01   1.901120e-03   2.904729e-04
  1.558571e-01   1.766600e-03   2.780856e-04
  1.619601e-01   2.339140e-03   2.704574e-04
  1.689042e-01   2.046340e-03   1.856109e-04
  1.761461e-01   2.335740e-03   2.488663e-04
  1.836984e-01   2.006745e-03   1.714940e-04
  1.915746e-01   1.955930e-03   1.636940e-04
  1.997884e-01   2.061840e-03   2.250197e-04
  2.083544e-01   1.935055e-03   1.551503e-04
  2.172877e-01   2.015480e-03   1.492272e-04
  2.266040e-01   2.176310e-03   1.447856e-04
  2.363198e-01   1.981155e-03   1.395726e-04
  2.464521e-01   1.855605e-03   1.364122e-04
  2.570188e-01   1.720670e-03   1.327256e-04
  2.680386e-01   1.902420e-03   1.094095e-04
  2.795309e-01   2.062625e-03   1.404266e-04
  2.915159e-01   1.973827e-03   1.171468e-04
  3.040148e-01   2.018340e-03   1.396799e-04
  3.170496e-01   1.874830e-03   1.102157e-04
  3.306432e-01   1.964833e-03   1.027622e-04
  3.448197e-01   1.877127e-03   9.749407e-05
  3.596040e-01   1.891153e-03   9.405108e-05
  3.750222e-01   1.838093e-03   9.184242e-05
  3.911014e-01   1.725063e-03   8.883619e-05
  4.078701e-01   1.735413e-03   7.458877e-05
  4.253577e-01   1.726885e-03   7.233599e-05
  4.435951e-01   1.708040e-03   8.210490e-05
  4.626144e-01   1.725028e-03   6.934382e-05
  4.824492e-01   1.700652e-03   6.736634e-05
  5.031345e-01   1.537736e-03   6.097078e-05
  5.247066e-01   1.598710e-03   6.845441e-05
  5.472036e-01   1.610354e-03   6.084343e-05
  5.706652e-01   1.540178e-03   5.755651e-05
  5.951327e-01   1.603752e-03   5.535357e-05
  6.206493e-01   1.502678e-03   5.373095e-05
  6.472599e-01   1.469563e-03   4.782537e-05
  6.750115e-01   1.403150e-03   4.644449e-05
  7.039529e-01   1.328918e-03   4.526854e-05
  7.341352e-01   1.259568e-03   4.410750e-05
  7.656116e-01   1.287299e-03   3.984467e-05
  7.984376e-01   1.189319e-03   3.884248e-05
  8.326709e-01   1.157849e-03   3.789561e-05
  8.683721e-01   1.090866e-03   3.695557e-05
  9.056039e-01   1.074909e-03   3.372914e-05
  9.444321e-01   9.776888e-04   3.287719e-05
  9.849251e-01   9.393622e-04   3.024337e-05
  1.027154e+00   9.234050e-04   3.141788e-05
  1.071194e+00   9.091750e-04   2.777944e-05
  1.117122e+00   8.309889e-04   2.968242e-05
  1.165019e+00   8.042010e-04   2.724309e-05
  1.214970e+00   6.926782e-04   2.509145e-05
  1.267062e+00   7.204290e-04   2.560538e-05
  1.321388e+00   5.985600e-04   2.327048e-05
  1.378043e+00   5.640500e-04   2.313449e-05
  1.437127e+00   5.349025e-04   2.221074e-05
  1.498745e+00   4.992538e-04   2.072281e-05
  1.563004e+00   4.612908e-04   2.019980e-05
  1.630018e+00   4.122314e-04   1.927791e-05
  1.699906e+00   3.456353e-04   1.804062e-05
  1.772791e+00   3.101993e-04   1.757739e-05
  1.848800e+00   3.311531e-04   1.661312e-05
  1.928068e+00   2.768747e-04   1.616635e-05
  2.010735e+00   2.642424e-04   1.569241e-05
  2.096946e+00   2.628894e-04   1.486285e-05
  2.186853e+00   2.211179e-04   1.494025e-05
  2.280616e+00   2.056674e-04   1.557593e-05
  2.378398e+00   1.711857e-04   1.532139e-05
  2.480373e+00   1.513305e-04   1.571330e-05
  2.586720e+00   1.308882e-04   1.629769e-05
  2.697627e+00   9.773583e-05   1.583720e-05
  2.813289e+00   1.257625e-04   1.604759e-05
  2.933910e+00   9.823080e-05   1.517129e-05
  3.059703e+00   8.983577e-05   1.469516e-05
  3.190889e+00   1.045864e-04   1.423858e-05
  3.327699e+00   7.416500e-05   1.420853e-05
  3.470376e+00   5.719233e-05   1.370178e-05
  3.619170e+00   4.351323e-05   1.535304e-05
  3.774344e+00   6.704121e-05   1.633660e-05
  3.936170e+00   4.975235e-05   1.669286e-05
  4.104935e+00   3.731629e-05   1.703968e-05
  4.280936e+00   2.619108e-05   1.849056e-05
  4.464483e+00   3.243079e-05   2.101239e-05
  4.655900e+00  -8.665000e-07   2.394747e-05
  4.855524e+00   4.530581e-05   3.129775e-05
  4.958523e+00   5.000636e-05   1.301516e-04
range-from: 1
range-to: 1000
range-from: 1
range-to: 1000
datop-operation: /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_0p21_Hst1_HS_Buffer/frames/0.21 mgml/avrg_002.dat SUB /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_0p21_Hst1_HS_Buffer/frames/0.21 mgml/avrg_001.dat
parent: 0p21.dat
creator: datregrid
creator-version: 14885 (r14885)
