Sample description: 
Sample:   c= 0 mg/ml  Code: 
Parent(s): /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_002.dat /Users/oskarsvensson/Desktop/SAXS/Hst1_HS/Hst1_HS_2_sc/Hst1_HS_4p77_Hst1_HS_Buffer (Rad dmg)/frames/4.77 mgml/avrg_001.dat
  7.768555e-02   6.973090e-02   2.195730e-03
  8.257128e-02   6.963554e-02   1.209166e-03
  8.745700e-02   6.749060e-02   9.917363e-04
  9.234272e-02   6.958415e-02   8.396561e-04
  9.722845e-02   7.009034e-02   7.576061e-04
  1.021142e-01   6.903602e-02   6.886497e-04
  1.069999e-01   6.708966e-02   6.426336e-04
  1.118856e-01   6.778164e-02   6.042613e-04
  1.167713e-01   6.840730e-02   5.659723e-04
  1.216571e-01   6.828083e-02   5.472711e-04
  1.265428e-01   6.717665e-02   5.209381e-04
  1.314285e-01   6.644679e-02   5.057970e-04
  1.363142e-01   6.746888e-02   4.839238e-04
  1.412000e-01   6.684509e-02   4.708930e-04
  1.460857e-01   6.619963e-02   4.508697e-04
  1.509714e-01   6.573207e-02   4.445558e-04
  1.558571e-01   6.605897e-02   4.272704e-04
  1.607428e-01   6.513850e-02   4.148115e-04
  1.656286e-01   6.409722e-02   4.142466e-04
  1.705143e-01   6.379728e-02   3.998018e-04
  1.754000e-01   6.421734e-02   3.880348e-04
  1.802857e-01   6.381342e-02   3.815919e-04
  1.851715e-01   6.272130e-02   3.790763e-04
  1.900572e-01   6.295422e-02   3.691151e-04
  1.949429e-01   6.281032e-02   3.602713e-04
  1.998286e-01   6.214511e-02   3.549938e-04
  2.047143e-01   6.212233e-02   3.512495e-04
  2.096001e-01   6.118262e-02   3.441773e-04
  2.144858e-01   6.104493e-02   3.376285e-04
  2.193715e-01   6.048079e-02   3.325092e-04
  2.242572e-01   6.039028e-02   3.296059e-04
  2.291430e-01   6.024102e-02   3.230982e-04
  2.340287e-01   6.022932e-02   3.156893e-04
  2.389144e-01   5.939761e-02   3.143713e-04
  2.438001e-01   5.910000e-02   3.118702e-04
  2.486859e-01   5.866185e-02   3.045055e-04
  2.535716e-01   5.842558e-02   3.004769e-04
  2.584573e-01   5.777897e-02   2.997814e-04
  2.633430e-01   5.744837e-02   2.996400e-04
  2.682287e-01   5.726207e-02   3.028864e-04
  2.731145e-01   5.655446e-02   3.046980e-04
  2.780002e-01   5.606829e-02   3.142266e-04
  2.828859e-01   5.567673e-02   3.162891e-04
  2.877716e-01   5.504088e-02   3.185346e-04
  2.926574e-01   5.449347e-02   3.213309e-04
  2.975431e-01   5.451186e-02   3.233021e-04
  3.024288e-01   5.410912e-02   3.174409e-04
  3.073145e-01   5.380029e-02   3.058590e-04
  3.122002e-01   5.342973e-02   3.025908e-04
  3.170860e-01   5.324802e-02   3.015615e-04
  3.219717e-01   5.279975e-02   2.963635e-04
  3.268574e-01   5.233183e-02   2.859421e-04
  3.317431e-01   5.225879e-02   2.815258e-04
  3.366289e-01   5.163467e-02   2.699632e-04
  3.415146e-01   5.094305e-02   2.672970e-04
  3.464003e-01   5.018615e-02   2.623911e-04
  3.512860e-01   5.014429e-02   2.613454e-04
  3.561718e-01   4.996131e-02   2.553826e-04
  3.610575e-01   4.932313e-02   2.509365e-04
  3.659432e-01   4.933256e-02   2.522605e-04
  3.708289e-01   4.887101e-02   2.509546e-04
  3.757146e-01   4.839231e-02   2.463524e-04
  3.806004e-01   4.760175e-02   2.415382e-04
  3.854861e-01   4.776019e-02   2.413149e-04
  3.903718e-01   4.725971e-02   2.369075e-04
  3.952575e-01   4.682001e-02   2.331523e-04
  4.001433e-01   4.654681e-02   2.317995e-04
  4.050290e-01   4.621679e-02   2.304470e-04
  4.099147e-01   4.593633e-02   2.260586e-04
  4.148004e-01   4.548534e-02   2.241677e-04
  4.196861e-01   4.428109e-02   2.213125e-04
  4.245719e-01   4.485241e-02   2.212723e-04
  4.294576e-01   4.424405e-02   2.185530e-04
  4.343433e-01   4.425698e-02   2.173155e-04
  4.392290e-01   4.382432e-02   2.165781e-04
  4.441148e-01   4.298249e-02   2.157962e-04
  4.490005e-01   4.317568e-02   2.109874e-04
  4.538862e-01   4.239209e-02   2.088541e-04
  4.587719e-01   4.237870e-02   2.113341e-04
  4.636577e-01   4.160561e-02   2.073866e-04
  4.685434e-01   4.154649e-02   2.055567e-04
  4.734291e-01   4.087723e-02   2.025920e-04
  4.783148e-01   4.086128e-02   2.026125e-04
  4.832005e-01   4.067364e-02   1.993192e-04
  4.880863e-01   4.000321e-02   1.983376e-04
  4.929720e-01   3.957808e-02   2.006430e-04
  4.978577e-01   3.952706e-02   2.007609e-04
  5.027434e-01   3.892996e-02   2.010026e-04
  5.076292e-01   3.860320e-02   2.012183e-04
  5.125149e-01   3.820123e-02   2.017498e-04
  5.174006e-01   3.825525e-02   2.012543e-04
  5.222863e-01   3.770396e-02   2.004900e-04
  5.271720e-01   3.767981e-02   1.996874e-04
  5.320578e-01   3.695983e-02   2.006380e-04
  5.369435e-01   3.685760e-02   1.974684e-04
  5.418292e-01   3.665715e-02   1.985108e-04
  5.467149e-01   3.616619e-02   1.974783e-04
  5.516007e-01   3.581934e-02   1.989875e-04
  5.564864e-01   3.550179e-02   1.948285e-04
  5.613721e-01   3.530065e-02   1.892501e-04
  5.662578e-01   3.460051e-02   1.878636e-04
  5.711436e-01   3.457071e-02   1.848593e-04
  5.760293e-01   3.414908e-02   1.836421e-04
  5.809150e-01   3.358594e-02   1.797978e-04
  5.858007e-01   3.372732e-02   1.799114e-04
  5.906864e-01   3.343158e-02   1.779488e-04
  5.955722e-01   3.315986e-02   1.748733e-04
  6.004579e-01   3.304540e-02   1.743412e-04
  6.053436e-01   3.276489e-02   1.742773e-04
  6.102293e-01   3.234880e-02   1.723619e-04
  6.151151e-01   3.197204e-02   1.703530e-04
  6.200008e-01   3.183219e-02   1.688885e-04
  6.248865e-01   3.145175e-02   1.698069e-04
  6.297722e-01   3.157846e-02   1.670489e-04
  6.346579e-01   3.087678e-02   1.665398e-04
  6.395437e-01   3.048891e-02   1.658787e-04
  6.444294e-01   3.037320e-02   1.645760e-04
  6.493151e-01   2.998946e-02   1.626497e-04
  6.542008e-01   3.027996e-02   1.616761e-04
  6.590866e-01   2.953707e-02   1.621747e-04
  6.639723e-01   2.913011e-02   1.603833e-04
  6.688580e-01   2.900922e-02   1.590911e-04
  6.737437e-01   2.865691e-02   1.570541e-04
  6.786295e-01   2.859876e-02   1.575128e-04
  6.835152e-01   2.813529e-02   1.562414e-04
  6.884009e-01   2.821232e-02   1.546122e-04
  6.932866e-01   2.801322e-02   1.547747e-04
  6.981723e-01   2.756389e-02   1.543154e-04
  7.030581e-01   2.720850e-02   1.515503e-04
  7.079438e-01   2.712065e-02   1.507447e-04
  7.128295e-01   2.691403e-02   1.505150e-04
  7.177152e-01   2.655949e-02   1.503690e-04
